date,id,pdf,pm,release_type,subjects,title
1999-05-21,11099,,"Howard, John",Interview,,"TRANSCRIPT OF THE PRIME MINISTER                                     THE HON JOHN HOWARD MP                   DOORSTOP INTERVIEW, MELBOURNE"
2012-11-12,18903,,"Gillard, Julia",Media Release,,Launch of National Telework Week
1997-06-20,10387,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00010387.pdf,"Howard, John",Interview,,"Television Interview, BBC Television, Central London"
1974-02-04,3143,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00003143.pdf,"Whitlam, Gough",Speech,,"SPEECH BY THE PRIME MINSITER, MR. E.G. WHITLAM, Q.C., M.P., AT A LUNCHEON GIVEN BY THE PRIME MINISTER OF THE ROYAL GOVERNMENT OF LAOS, VIENTIANE, 4 FEBRUARY, 1974"
2012-08-08,18730,,"Gillard, Julia",Interview,,"Transcript of interview with Sanbra Lane, ABC AM"
2010-07-07,17403,,"Gillard, Julia",Speech,,"Transcript of doorstop interview, Darwin"
2018-05-23,41645,,"Turnbull, Malcolm",Media Release,,Australia-EU Trade Agreement
1999-02-19,11072,,"Howard, John",Interview,,TRANSCRIPT OF THE PRIME MINISTER                   THE HON JOHN HOWARD MP                   DOORSTOP INTERVIEW                PARLIAMENT HOUSE
1981-03-05,5532,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00005532.pdf,"Fraser, Malcolm",Media Release,,CABINET COMMITTEES
2007-02-21,15214,,"Howard, John",Interview,,"Press Conference Commonwealth Parliamentary Offices, Perth"
1968-01-09,1754,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00001754.pdf,"McEwen, John",Interview,,"BACKGROUND BRIEFING GIVEN BY THE LEADER OF THE LIBERAL PARTY, SENATOR GORTON AT PARLIMENT HOUSE CANBERRA."
1994-08-09,9308,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00009308.pdf,"Keating, Paul",Media Release,,"STATEMENT BY THE PRIME MINISTER , THE HON P J KEATING MP SYDNEY CASINO"
1988-05-21,7325,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00007325.pdf,"Hawke, Robert",Speech,,SPEECH BY THE PRIME MINISTER DEDICATION CEREMONY OF THE AUSTRALIAN HELENIC MEMORIAL CANBERRA - 21 MAY 1988
1990-05-02,8016,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00008016.pdf,"Hawke, Robert",Press Conference,,"TRANSCRIPT OF NEWS CONFERENCE, DARLING HARBOUR EXHIBITION CENTRE, SYDNEY - 2 MAY 1990"
1986-08-14,6985,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00006985.pdf,"Hawke, Robert",Media Release,,UNKNOWN
1988-11-30,7443,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00007443.pdf,"Hawke, Robert",Speech,,SPEECH BY THE PRIME MINISTER FEDERATION OF ETHNIC COMMUNITIES CONCILS OF AUSTRALIA CANBERRA -30 NOVEMBER 1988
1992-12-13,8770,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00008770.pdf,"Keating, Paul",Media Release,,"STATEMENT BY THE PRIME MINISTER, THE HON P J KEATING MP DEATH OF SIR ROBERT REX OF NIUE"
2007-09-06,15572,,"Howard, John",Interview,,"Joint Press Conference with the President of the People's Republic of China, His Excellency Hu Jintao, Phillip Street, Sydney"
1964-05-27,936,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00000936.pdf,"Menzies, Robert",Media Release,,"FOR PRESS:  P.M.NO. 37/1964  DEATH OF MR. NEHRU TRIBUTE BY THE PRIME MINISTER, THE RT. HON. SIR ROBERT MENZIES"
1964-12-08,1032,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00001032.pdf,"Menzies, Robert",Media Release,,"FOR PRESS: PM 78/1964 - ACTING MINISTER FOR LABOUR AND NATIONAL SERVICE - STATEMENT BY THE PRIME MINISTER, THE RT. HON. SIR ROBERT MENZIES"
2013-05-14,19348,,"Gillard, Julia",Media Release,,A Fairer Funding Plan For All Australian Schools
2000-07-04,11714,,"Howard, John",Speech,,"Address to Financial Services Seminar Dinner, London"
1980-02-09,5254,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00005254.pdf,"Fraser, Malcolm",Speech,,"SPEECH BY THE ACTING PRIME MINISTER AND MINISTER FOR TRADE AND RESOURCES, THE RT HON JD ANTHONY MP AT THE OFFICIAL OPENING OF THE SIXTH MACQUARIE MERINO FIELD DAYS, WARREN, NSW, SATURDAY 9 FEBRUARY 1980"
2017-08-20,41123,,"Turnbull, Malcolm",Transcript,,"Doorstop with the NSW Minister for Police and Minister for Emergency Services, AFP Commissioner and NSW Police Commissioner"
1975-02-18,3625,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00003625.pdf,"Whitlam, Gough",Press Conference,,"PRIME MINISTER'S PRESS CONFERENCE AT PARLIAMENT HOUSE, CANBERRA ON 18TH FEBRUARY 1975"
2011-08-07,18056,,"Gillard, Julia",Interview,,"Transcript of joint press conference, Launceston"
2010-06-25,17365,,"Gillard, Julia",Government,,Prime Minister holds introductory discussions with world leaders
2000-02-03,11700,,"Howard, John",Speech,,TRANSCRIPT OF THE PRIME MINISTER            THE HON JOHN HOWARD MP            ADDRESS AT THE COMMUNITY LUNCHEON IN MACLEAN            MACLEAN-LOWER CLARENCE SERVICES CLUB
2016-03-08,40229,,"Turnbull, Malcolm",Media Release,,The Centre for Defence Industry Capability
1980-01-22,5240,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00005240.pdf,"Fraser, Malcolm",Interview,,TRANSCRIPT OF DOORSTOP INTERVIEW TREASURY PLACE MELBOURNE
2017-08-28,41137,,"Turnbull, Malcolm",Media Release,,Snowy Hydro 2.0 Powering Ahead
2011-08-02,18042,,"Gillard, Julia",Media Release,,National health reform finalised
1975-02-26,3631,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00003631.pdf,"Whitlam, Gough",Media Release,,VISIT OF SOVIET TEXTILE TECHNOLOGY
2010-12-05,17371,,"Gillard, Julia",Media Release,,Australia provides bushfire assistance to Israel
1986-08-27,6991,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00006991.pdf,"Hawke, Robert",Speech,,LABOUR BUSINESS FORUM ADELAIDE - 27 AUGUST 1986
1989-01-19,7457,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00007457.pdf,"Hawke, Robert",Press Conference,,"NEWS CONFERENCE, PARLIAMENT HOUSE - 19 JANUARY 1989"
1992-12-10,8764,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00008764.pdf,"Keating, Paul",Interview,,"TRANSCRIPT OF THE PRIME MINISTER, THE HON P.J. KEATING MP DOORSTOP, REDFERN PARK, SYDNEY, 10 DECEMBER 1992"
1985-09-30,6749,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00006749.pdf,"Hawke, Robert",Speech,,"AUSTRALIAN DESIGN AWARD, MELBOURNE, 30 SEPTEMBER 1985"
2001-03-24,12209,,"Howard, John",Media Release,,President Wahid
2007-02-05,15566,,"Howard, John",Interview,,"Press Conference  Parliament House, Canberra"
1964-11-24,1026,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00001026.pdf,"Menzies, Robert",Broadcast,,"BROADCAST NO. 1 - SENATE ELECTION - BROADCAST BY THE PRIME MINISTER, THE RT. HON. SIR ROBERT MENZIES, OVER ABC NATIONAL STATIONS IN ALL STATES AT 7.15PM ON TUESDAY, 24TH NOVEMBER 1964"
1964-04-27,922,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00000922.pdf,"Menzies, Robert",Message,,MESSAGE TO TUNKU ABDUL RAHMAN FROM THE PRIME MINISTER
2007-03-08,15200,,"Howard, John",Interview,,Interview with Fran Kelly ABC Radio National
1967-12-19,1740,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00001740.pdf,"McEwen, John",Message,,FOR PRESS: PM. NO. 138/1967 - MESSAGE FROM PRESIDENT JOHNSON
1988-06-05,7331,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00007331.pdf,"Hawke, Robert",Media Release,,"JOINT STATEMENT BY THE PRIME MINISTER AND THE MINISTER FOR THE ARTS, SPORT, THE ENVIRONMENT, TOURISM AND TERRITORIES, SENATOR GRAHAM RICHARDSON"
1990-04-11,8002,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00008002.pdf,"Hawke, Robert",Media Release,,UNKNOWN
1969-02-11,1998,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00001998.pdf,"Gorton, John",Media Release,,"FOR PRESS: P.M. NO. 17/1969 - NEW MINISTER FOR AIR - STATEMENT BY THE PRIME MINISTER, MR JOHN GORTON"
2012-08-07,18724,,"Gillard, Julia",Speech,,"Electricity prices: the facts, Speech to the Energy Policy Institute of Australia"
1974-02-18,3157,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00003157.pdf,"Whitlam, Gough",Media Release,,NEW ITINERARY FOR THE QUEEN'S INTERRUPTED VISIT
2010-11-04,17417,,"Gillard, Julia",Economy & Finance,,"Transcript of interview with Karl Stefanovic, Today Show"
1997-06-08,10378,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00010378.pdf,"Howard, John",Speech,,Address to the Liberal Party State Convention - Cairns
1978-03-02,4638,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00004638.pdf,"Fraser, Malcolm",Statement in Parliament,,"PARLIAMENTARY STATEMENT, 2 MARCH 1978"
2018-05-30,41651,,"Turnbull, Malcolm",Media Release,,Catholic Church commits to National Redress Scheme
1999-06-18,11066,,"Howard, John",Interview,,TRANSCRIPT OF THE PRIME MINISTER                   THE HON JOHN HOWARD MP                 DOORSTOP INTERVIEW &#150; SYDNEY
1981-02-24,5526,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00005526.pdf,"Fraser, Malcolm",Media Release,,ZEEHAN FIRE RELIEF
1970-07-02,2249,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00002249.pdf,"Gorton, John",Speech,,"OPENING OF NORWICH UNION HOUSE, SYDNEY NSW - 2 JULY 1970 - SPEECH BY THE PRIME MINISTER, MR JOHN GORTON"
2009-07-26,16709,,"Rudd, Kevin",Interview,,Joint press conference Prime Minister Federal Minister for Health Victorian Minister for Health Tullamarine
1968-01-23,1768,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00001768.pdf,"Gorton, John",Media Release,,"FOR PRESS: PM .NO.13/1968 SETTLEMENT OF POSTAL DISPUTE STATEMENT BY THE PRIME MINISTER, SENATOR JOHN GORTON"
2007-07-01,15228,,"Howard, John",Speech,,"Address at the Arrival of the World Youth Day Cross and Icon, Sydney Airport, Sydney"
2006-09-24,22484,,"Howard, John",Media Release,,Ministerial Changes
1994-08-25,9334,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00009334.pdf,"Keating, Paul",Speech,,"SPEECH BY THE PRIME MINISTER, THE HON P J KEATING MP AUSTRALIAN WAR MEMORIAL CAPITAL APPEAL THURSDAY, 25 AUGUST 1994"
2002-12-18,12547,,"Howard, John",Interview,,"TRANSCRIPT OF THE PRIME MINISTER  THE HON JOHN HOWARD MP  INTERVIEW WITH HELEN DALLY, A CURRENT AFFAIR   CHANNEL NINE"
2014-11-08,23942,,"Abbott, Tony",Media Release,,Commonwealth Government and Victorian Coalition to deliver $250 million upgrade of Tullamarine Freeway
